loan_id,customer_id,loan_amount,term_months,interest_rate,purpose,loan_status,disbursed_date
132,1566,26961,12,10.42,Vehicle,Paid Off,2025-04-13
133,718,32129,6,20.63,Education,Paid Off,2022-10-24
134,1343,32816,48,15.19,Medical,Current,2024-03-04
135,1042,39048,12,15.22,Wedding,Paid Off,2023-02-02
136,119,10847,24,21.69,Medical,Current,2023-02-19
137,1478,42105,12,9.9,Home Renovation,Current,2025-03-10
138,243,79862,24,11.21,Vehicle,Current,2024-08-11
139,1077,26942,36,11.64,Education,Default,2023-12-05
140,185,27668,24,17.05,Business Expansion,Current,2025-07-30
141,1180,48154,12,16.73,Debt Consolidation,Current,2025-02-06
142,664,15399,12,10.58,Vehicle,Paid Off,2024-12-04
143,1083,12907,12,16.89,Medical,Default,2024-08-05
144,1224,31069,6,18.63,Debt Consolidation,Current,2026-02-16
145,210,36990,12,12.6,Business Expansion,Default,2024-06-08
146,649,14358,12,20.65,Education,Default,2025-04-26
147,1558,76737,48,20.73,Home Renovation,Current,2024-05-05
148,92,55261,6,21.89,Debt Consolidation,Current,2026-02-11
149,1478,23570,48,9.92,Vehicle,Current,2024-12-23
150,1068,14709,36,19.62,Debt Consolidation,Paid Off,2025-11-27
151,1396,18075,6,15.16,Home Renovation,Default,2023-05-08
152,1377,36219,48,18.91,Wedding,Default,2025-11-20
153,929,59631,36,21.37,Medical,Current,2022-09-29
154,811,15626,24,12.49,Home Renovation,Default,2022-07-05
155,1233,99836,36,17.86,Wedding,Paid Off,2022-11-28
156,290,159259,36,20.22,Business Expansion,Current,2026-03-11
157,1559,27528,6,21.71,Debt Consolidation,Current,2024-08-07
158,1297,22447,12,20.43,Education,Default,2024-04-10
159,438,46351,24,17.34,Wedding,Current,2025-12-12
160,1675,51678,6,20.25,Vehicle,Paid Off,2022-05-25
161,698,19753,60,13.66,Medical,Default,2022-03-08
162,1352,45254,36,18.91,Business Expansion,Current,2025-11-30
163,1567,56338,48,16.69,Debt Consolidation,Current,2023-03-01
164,544,98052,60,10.51,Wedding,Default,2023-11-19
165,1903,34849,6,15.93,Medical,Current,2025-10-13
166,1127,43987,6,10.89,Vehicle,Default,2024-01-19
167,92,202121,48,10.01,Education,Paid Off,2024-01-21
168,524,57190,60,16.48,Business Expansion,Current,2022-05-18
169,846,13869,60,19.17,Medical,Paid Off,2022-10-11
170,1389,19250,12,16.25,Vehicle,Paid Off,2025-08-22
171,1529,24924,60,21.24,Debt Consolidation,Paid Off,2025-04-03
172,412,24992,60,12.12,Debt Consolidation,Current,2026-03-06
173,1610,25505,12,13.51,Business Expansion,Paid Off,2023-07-02
174,604,23370,60,14.79,Home Renovation,Paid Off,2022-04-22
175,739,39329,24,13.82,Business Expansion,Paid Off,2024-09-22
176,1900,86104,48,19.87,Wedding,Default,2024-08-20
177,669,42120,48,17.98,Medical,Current,2024-12-27
178,1060,49466,36,17.26,Wedding,Default,2025-10-10
179,87,116585,6,11.85,Home Renovation,Paid Off,2024-07-26
180,333,10410,6,14.38,Medical,Current,2023-01-02
181,1650,43838,6,10.87,Home Renovation,Current,2023-07-20
182,1549,57249,60,11.35,Debt Consolidation,Paid Off,2022-11-05
183,1179,23211,12,16.01,Home Renovation,Current,2025-07-08
184,667,27758,24,14.71,Business Expansion,Default,2025-10-29
185,1340,55650,12,15.42,Vehicle,Paid Off,2024-05-10
186,42,36276,60,17.56,Education,Current,2023-08-21
187,1893,39711,6,9.78,Debt Consolidation,Default,2023-04-21
188,1409,32702,48,17.56,Business Expansion,Default,2024-04-23
189,176,33743,24,17.7,Medical,Current,2026-05-31
190,1292,43213,36,16.92,Business Expansion,Current,2025-11-28
191,1180,54840,48,15.07,Business Expansion,Current,2023-09-15
192,571,65826,12,20.73,Education,Current,2023-09-20
193,1523,94032,24,12.33,Medical,Current,2024-02-01
194,1503,28754,6,11.35,Vehicle,Current,2023-08-06
195,1971,44813,12,17.23,Wedding,Default,2022-11-26
196,560,25272,48,13.07,Debt Consolidation,Default,2022-12-26
197,1566,21682,60,18.16,Debt Consolidation,Default,2025-09-26
198,1568,18807,12,11.52,Home Renovation,Current,2022-08-28
199,14,15784,24,16.68,Medical,Default,2024-06-21
200,1069,45982,24,11.81,Wedding,Current,2025-02-25
201,259,67603,6,17.82,Education,Paid Off,2023-12-06
202,1547,35157,24,15.11,Business Expansion,Current,2022-11-29
203,966,75191,24,11.02,Vehicle,Current,2022-02-21
204,215,15428,36,19.11,Medical,Current,2024-07-27
205,652,44653,12,9.55,Business Expansion,Current,2026-02-21
206,1918,29979,48,13.64,Medical,Default,2025-12-15
207,1271,68728,36,20.7,Business Expansion,Current,2026-03-25
208,261,34521,60,11.34,Wedding,Current,2025-03-03
209,113,89635,36,13.73,Wedding,Current,2022-08-19
210,1674,35281,36,20.75,Wedding,Default,2022-10-13
211,169,34243,48,10.96,Vehicle,Current,2022-02-20
212,712,75413,48,20.01,Medical,Current,2024-07-02
213,263,24288,6,13.58,Wedding,Current,2025-05-30
214,125,22693,12,16.79,Debt Consolidation,Paid Off,2023-03-31
215,1190,27066,24,11.95,Business Expansion,Current,2022-06-21
216,1863,26145,36,17.96,Business Expansion,Paid Off,2022-06-28
217,1969,50858,36,11.93,Business Expansion,Default,2023-10-13
218,1296,122665,48,15.89,Wedding,Current,2022-04-25
219,101,58114,24,14.47,Debt Consolidation,Default,2026-01-06
220,1993,56761,36,14.12,Home Renovation,Paid Off,2024-02-03
221,1263,49799,24,13.81,Vehicle,Current,2023-09-23
222,487,37374,48,10.59,Vehicle,Default,2026-01-30
223,1394,39546,60,21.91,Medical,Default,2024-06-25
224,1421,34673,12,19.57,Wedding,Current,2024-05-18
225,873,37402,36,11.24,Business Expansion,Current,2025-04-17
226,169,35974,6,11.3,Vehicle,Current,2023-09-14
227,1685,16791,48,21.83,Business Expansion,Default,2022-05-16
228,1314,35957,36,10.61,Wedding,Default,2024-04-18
229,865,47095,24,14.68,Vehicle,Paid Off,2025-02-12
230,462,42537,60,16.6,Education,Default,2022-10-08
231,44,31803,12,19.9,Business Expansion,Current,2023-08-16
232,1311,145325,36,10.03,Debt Consolidation,Default,2023-09-11
233,1840,10000,48,13.3,Wedding,Current,2025-02-19
234,1273,31763,36,12.31,Education,Default,2022-01-06
235,1529,11176,24,13.25,Debt Consolidation,Current,2025-08-04
236,281,65773,60,15.41,Wedding,Current,2025-09-01
237,1120,30195,24,14.71,Wedding,Current,2024-10-04
238,609,26196,60,12.56,Debt Consolidation,Current,2022-09-02
239,1468,249314,24,15.66,Business Expansion,Paid Off,2022-05-17
240,1879,29259,60,14.02,Business Expansion,Paid Off,2024-09-11
241,5,22534,36,20.35,Wedding,Paid Off,2025-07-10
242,330,30268,36,21.68,Medical,Current,2022-09-02
243,321,73057,48,18.66,Debt Consolidation,Current,2022-02-05
244,381,41810,24,11.54,Education,Current,2022-04-30
245,532,101388,24,15.26,Education,Current,2025-11-20
246,1705,10000,24,11.54,Medical,Paid Off,2023-07-13
247,1388,19701,36,17.45,Home Renovation,Paid Off,2023-12-31
248,338,23887,24,13.15,Home Renovation,Default,2025-08-01
249,1883,37136,48,11.92,Education,Default,2025-07-10
250,456,105213,6,16.98,Business Expansion,Current,2022-12-09
251,1197,40739,24,20.41,Debt Consolidation,Default,2025-11-03
252,1141,13158,24,12.89,Wedding,Paid Off,2025-11-30
253,1303,107333,24,10.7,Medical,Current,2025-04-02
254,1614,19708,12,9.66,Medical,Current,2024-11-27
255,991,61251,24,19.24,Medical,Paid Off,2024-04-23
256,673,30078,12,10.78,Business Expansion,Paid Off,2022-11-13
257,58,36460,12,19.89,Business Expansion,Current,2025-02-18
258,1360,48349,60,19.89,Debt Consolidation,Current,2024-12-12
259,1570,52753,48,18.41,Debt Consolidation,Default,2025-12-09
260,55,95619,6,14.72,Home Renovation,Paid Off,2022-06-06
261,990,87534,12,21.04,Medical,Paid Off,2024-09-09
262,1763,18548,24,18.14,Debt Consolidation,Default,2022-10-12
263,831,20426,36,20.62,Business Expansion,Default,2025-05-08
264,27,14020,24,11.65,Home Renovation,Default,2023-09-16
265,1081,47009,60,19.68,Education,Current,2023-04-01
266,1924,76651,60,11.28,Medical,Default,2023-04-10
267,687,212622,12,12.12,Vehicle,Paid Off,2022-06-10
268,574,14726,60,19.04,Home Renovation,Default,2022-08-17
269,400,30851,6,19.18,Vehicle,Current,2026-04-01
270,1845,46622,6,11.95,Debt Consolidation,Current,2022-03-09
271,1056,18914,60,15.92,Vehicle,Current,2022-05-02
272,1478,47395,6,20.86,Home Renovation,Paid Off,2022-03-30
273,256,52925,24,17.84,Home Renovation,Current,2026-03-26
274,1026,12463,6,21.0,Business Expansion,Current,2023-02-25
275,1728,18911,12,11.81,Home Renovation,Current,2023-12-21
276,1920,24986,6,11.32,Medical,Current,2026-03-09
277,1381,16178,48,13.85,Debt Consolidation,Current,2022-11-25
278,1356,11739,48,19.26,Education,Current,2025-06-09
279,1782,30757,48,16.63,Debt Consolidation,Current,2022-07-22
280,1918,26331,48,19.04,Education,Paid Off,2024-12-19
281,1869,18829,60,11.89,Education,Current,2023-08-01
282,718,81159,48,9.55,Home Renovation,Default,2026-01-25
283,127,21099,12,21.01,Vehicle,Default,2025-12-20
284,1985,33909,24,18.23,Vehicle,Paid Off,2023-01-15
285,1335,31254,60,21.47,Debt Consolidation,Current,2023-01-06
286,566,37025,24,21.77,Education,Paid Off,2024-05-18
287,1328,36912,48,12.34,Debt Consolidation,Default,2022-08-20
288,1955,27001,24,11.05,Business Expansion,Current,2022-08-14
289,628,48733,12,15.7,Wedding,Current,2024-01-10
290,474,63529,24,16.46,Home Renovation,Current,2022-03-25
291,317,64032,24,15.67,Medical,Default,2024-02-28
292,1995,58353,36,17.0,Wedding,Current,2023-10-01
293,1723,59320,36,12.32,Medical,Default,2024-04-14
294,399,23629,36,11.86,Debt Consolidation,Current,2022-05-23
295,837,40918,36,21.24,Education,Current,2024-01-23
296,1913,31994,6,21.98,Wedding,Default,2024-10-03
297,1771,91667,6,14.45,Wedding,Current,2024-12-06
298,1209,11710,60,10.56,Vehicle,Current,2022-10-21
299,149,29665,36,18.19,Wedding,Current,2022-07-28
300,574,10000,12,10.31,Medical,Default,2023-02-12
301,1595,29211,12,16.94,Home Renovation,Paid Off,2024-04-07
302,895,15716,12,19.98,Vehicle,Current,2026-01-25
303,378,42910,24,19.06,Business Expansion,Current,2026-04-18
304,1610,41865,48,12.91,Vehicle,Current,2025-08-11
305,203,40960,24,15.45,Vehicle,Current,2025-05-20
306,439,30612,36,15.89,Debt Consolidation,Paid Off,2022-10-29
307,1056,37551,36,10.85,Vehicle,Paid Off,2023-05-29
308,1226,28460,36,12.39,Home Renovation,Current,2022-10-03
309,681,69376,6,18.72,Vehicle,Default,2022-05-20
310,1629,30867,60,9.83,Vehicle,Default,2023-01-02
311,381,13578,48,17.99,Medical,Current,2022-11-09
312,257,73190,48,17.29,Home Renovation,Default,2026-04-06
313,1063,32618,60,18.9,Vehicle,Default,2026-04-21
314,924,16868,36,12.02,Vehicle,Current,2025-09-17
315,770,26779,36,15.81,Medical,Current,2025-01-15
316,717,54918,48,16.33,Home Renovation,Paid Off,2026-04-14
317,571,34365,36,20.5,Vehicle,Current,2022-09-01
318,1831,35367,36,13.43,Vehicle,Current,2024-02-10
319,1558,33121,36,9.95,Business Expansion,Current,2022-12-29
320,624,44741,60,20.25,Wedding,Current,2023-09-13
321,469,10000,12,15.64,Medical,Paid Off,2022-10-03
322,202,16702,60,14.36,Home Renovation,Paid Off,2026-04-14
323,617,21081,48,17.94,Business Expansion,Paid Off,2025-09-13
324,659,42590,60,16.24,Vehicle,Current,2024-08-20
325,609,55847,48,20.18,Home Renovation,Current,2024-11-03
326,616,69148,36,12.79,Vehicle,Default,2025-04-25
327,105,34622,48,17.96,Medical,Paid Off,2026-04-19
328,1912,17775,24,10.27,Home Renovation,Current,2025-04-24
329,810,19457,12,19.96,Debt Consolidation,Current,2023-12-16
330,387,73563,60,16.8,Wedding,Paid Off,2026-04-17
331,26,39068,24,14.26,Medical,Current,2024-05-26
332,1556,38199,24,14.65,Wedding,Current,2022-04-26
333,1146,15640,12,12.6,Medical,Current,2025-08-20
334,1232,17207,48,10.56,Home Renovation,Default,2025-11-10
335,1799,43592,24,10.93,Home Renovation,Default,2022-12-14
336,700,59094,48,13.58,Wedding,Default,2024-08-01
337,365,69976,36,16.6,Medical,Default,2024-05-12
338,1651,39117,6,18.2,Home Renovation,Current,2025-04-19
339,1567,81274,24,14.22,Medical,Current,2024-03-10
340,1192,52267,48,10.72,Home Renovation,Current,2024-09-27
341,593,70478,60,17.94,Vehicle,Default,2023-11-20
342,188,15116,48,19.64,Medical,Default,2025-09-28
343,573,34589,12,17.19,Vehicle,Current,2024-01-15
344,1058,26561,12,15.71,Home Renovation,Paid Off,2026-06-01
345,101,54318,48,12.18,Home Renovation,Current,2023-06-28
346,1847,16299,24,21.95,Debt Consolidation,Paid Off,2024-04-03
347,1017,51220,12,17.31,Wedding,Paid Off,2022-07-08
348,968,33840,48,10.68,Medical,Paid Off,2023-11-21
349,660,56311,6,16.58,Vehicle,Paid Off,2024-12-23
350,1348,11607,36,12.12,Wedding,Current,2022-06-07
351,1503,35137,24,15.81,Vehicle,Default,2023-09-07
352,1459,47467,60,16.25,Vehicle,Current,2023-02-14
353,1083,37324,36,12.64,Vehicle,Current,2024-11-21
354,184,50143,60,19.04,Home Renovation,Current,2023-01-05
355,1007,26336,60,18.29,Business Expansion,Default,2023-01-18
356,1207,26634,36,12.16,Vehicle,Paid Off,2026-03-01
357,1383,25205,24,21.21,Debt Consolidation,Default,2024-12-27
358,1606,95063,48,20.16,Business Expansion,Default,2024-06-07
359,699,21782,60,17.33,Education,Default,2024-12-05
360,1940,106933,24,15.28,Education,Paid Off,2023-05-08
361,1584,52431,60,18.07,Debt Consolidation,Current,2023-09-07
362,552,33644,36,14.63,Wedding,Default,2022-05-12
363,463,52305,12,20.07,Debt Consolidation,Current,2023-07-01
364,898,45170,24,17.58,Wedding,Paid Off,2023-06-10
365,739,16737,48,12.45,Home Renovation,Current,2023-05-04
366,1890,64642,12,11.9,Debt Consolidation,Current,2023-05-18
367,1382,17017,24,15.3,Vehicle,Current,2025-02-20
368,1185,38345,36,17.59,Education,Current,2022-03-17
369,1048,46613,12,12.91,Medical,Paid Off,2022-03-01
370,837,25977,24,17.73,Wedding,Default,2022-12-27
371,752,25614,6,21.55,Debt Consolidation,Default,2024-09-22
372,1941,28008,6,10.19,Medical,Paid Off,2022-06-21
373,1524,20623,48,13.22,Vehicle,Default,2022-05-11
374,1728,41709,24,17.9,Vehicle,Default,2022-07-04
375,529,30067,60,20.03,Home Renovation,Default,2023-04-29
376,1865,28070,48,18.68,Business Expansion,Current,2022-09-05
377,363,131987,60,19.86,Business Expansion,Default,2026-05-07
378,942,70042,24,15.71,Education,Default,2022-07-04
379,803,24218,48,11.03,Medical,Default,2023-10-04
380,537,13336,48,18.72,Wedding,Default,2026-03-13
381,1191,29565,12,21.19,Education,Default,2023-03-23
382,282,91557,6,11.69,Vehicle,Paid Off,2023-07-17
383,1392,23257,36,12.68,Home Renovation,Current,2025-04-22
384,1937,187450,36,16.17,Home Renovation,Current,2025-12-03
385,1381,45888,24,16.32,Wedding,Current,2024-08-30
386,1627,65452,12,21.54,Education,Current,2026-05-26
387,114,36331,24,15.44,Debt Consolidation,Current,2024-01-24
388,483,35000,24,9.76,Home Renovation,Default,2025-05-25
389,1544,22493,60,17.78,Wedding,Default,2022-04-22
390,941,260300,60,12.5,Vehicle,Current,2025-02-05
391,592,18483,24,17.49,Medical,Paid Off,2025-12-05
392,15,11983,60,11.03,Debt Consolidation,Current,2023-04-30
393,1118,56216,36,14.36,Medical,Current,2024-03-15
394,28,28610,24,10.63,Education,Default,2026-03-30
395,76,31629,24,12.13,Vehicle,Default,2022-11-25
396,199,34448,60,13.46,Wedding,Default,2026-04-20
397,1707,21736,36,19.37,Debt Consolidation,Default,2023-07-16
398,56,20376,6,19.79,Vehicle,Current,2024-10-03
399,1721,41782,60,14.66,Wedding,Current,2023-11-13
400,766,19230,36,20.46,Debt Consolidation,Default,2022-07-25
401,35,46959,12,18.23,Home Renovation,Paid Off,2024-11-02
402,689,26586,24,14.76,Debt Consolidation,Default,2026-02-02
403,347,74551,48,18.72,Wedding,Paid Off,2024-07-17
404,466,60160,6,19.02,Wedding,Current,2025-08-06
405,1965,27585,12,17.38,Education,Current,2025-08-05
406,476,33329,6,14.51,Medical,Paid Off,2025-07-10
407,253,12658,24,16.7,Education,Default,2022-08-15
408,657,88324,12,15.95,Debt Consolidation,Default,2026-04-22
409,1726,44527,60,19.04,Wedding,Paid Off,2025-05-01
410,1443,39713,36,19.41,Vehicle,Paid Off,2023-10-17
411,1627,95952,36,20.42,Medical,Current,2022-10-01
412,760,54219,12,18.09,Debt Consolidation,Current,2023-11-02
413,806,90159,24,11.98,Medical,Paid Off,2024-04-28
414,1174,13407,12,14.42,Debt Consolidation,Paid Off,2024-02-12
415,248,32707,48,12.31,Business Expansion,Current,2022-02-17
416,399,20458,60,17.15,Home Renovation,Default,2023-04-14
417,325,47300,36,11.98,Debt Consolidation,Current,2025-12-07
418,806,50223,12,10.12,Vehicle,Default,2025-06-19
419,1311,18354,48,12.75,Medical,Paid Off,2022-07-02
420,413,88949,12,21.34,Home Renovation,Paid Off,2022-08-29
421,532,38945,60,16.07,Vehicle,Default,2026-05-03
422,999,67609,60,15.68,Wedding,Paid Off,2023-04-05
423,316,41290,12,11.88,Medical,Default,2026-05-21
424,1430,31507,24,18.83,Education,Default,2024-02-22
425,597,19172,36,20.2,Education,Current,2025-05-13
426,1022,37946,24,18.58,Vehicle,Current,2023-01-23
427,1537,10526,12,14.61,Home Renovation,Default,2022-10-26
428,1912,29543,24,21.7,Business Expansion,Paid Off,2023-04-28
429,1469,37731,36,20.84,Business Expansion,Current,2024-01-28
430,1651,25106,60,17.59,Home Renovation,Current,2022-06-25
431,75,54839,36,11.17,Wedding,Default,2023-10-25
432,311,65877,36,18.09,Vehicle,Current,2025-12-31
433,991,52888,60,14.79,Medical,Paid Off,2025-05-08
434,242,34968,6,10.69,Home Renovation,Paid Off,2022-05-01
435,745,89825,24,21.14,Medical,Paid Off,2024-08-22
436,613,35219,48,21.24,Wedding,Paid Off,2025-05-10
437,618,38264,60,19.62,Medical,Current,2022-01-11
438,1401,34864,48,17.25,Vehicle,Current,2023-09-12
439,347,61404,60,14.14,Home Renovation,Current,2025-02-19
440,1842,34197,48,11.74,Business Expansion,Current,2022-12-14
441,1986,17990,36,21.13,Education,Current,2024-08-16
442,209,22945,6,13.47,Vehicle,Paid Off,2024-12-22
443,1750,18246,12,12.76,Home Renovation,Current,2023-10-04
444,498,21098,12,15.74,Wedding,Current,2023-07-30
445,473,51576,24,21.08,Medical,Paid Off,2023-08-03
446,1079,37857,48,19.87,Business Expansion,Current,2023-06-25
447,1465,68831,24,14.95,Medical,Current,2022-12-04
448,621,22080,60,21.93,Education,Current,2026-04-14
449,32,17622,48,20.16,Wedding,Current,2025-09-08
450,1651,40586,36,10.17,Home Renovation,Current,2022-11-01
451,307,25937,12,11.79,Medical,Paid Off,2024-08-21
452,1332,31676,12,18.32,Home Renovation,Paid Off,2024-06-12
453,803,31187,36,10.01,Wedding,Current,2024-01-01
454,966,41881,48,15.56,Home Renovation,Current,2024-10-06
455,618,67728,60,20.34,Medical,Default,2022-09-11
456,1212,47011,6,12.05,Education,Current,2023-08-05
457,1891,11044,12,18.87,Business Expansion,Default,2023-07-13
458,1262,28018,60,16.82,Home Renovation,Current,2025-04-10
459,1013,33908,48,19.09,Vehicle,Default,2023-01-05
460,780,34736,6,12.58,Wedding,Paid Off,2024-10-17
